source,contract_id,as_of_date,as_of_ts,snapshot_ts,observation_method,implied_probability,yes_price,no_price,volume,liquidity,open_interest,active,tradable
kalshi,GOVPARTYCT-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.93,0.93,0.07,946.0,0.0,478.0,True,True
kalshi,GOVPARTYCT-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.055,0.055,0.945,6417.0,0.0,5942.0,True,True
kalshi,GOVPARTYDE-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.885,0.885,0.115,24.0,0.0,10.0,True,True
kalshi,GOVPARTYDE-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.09,0.09,0.91,71.0,0.0,69.0,True,True
kalshi,GOVPARTYFL-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.135,0.135,0.865,9839.0,0.0,8668.0,True,True
kalshi,GOVPARTYFL-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.865,0.865,0.135,20178.0,0.0,5364.0,True,True
kalshi,GOVPARTYGA-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.54,0.54,0.46,5286.0,0.0,3922.0,True,True
kalshi,GOVPARTYGA-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.455,0.455,0.545,17141.0,0.0,10756.0,True,True
kalshi,GOVPARTYIA-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.475,0.475,0.525,51692.0,0.0,31823.0,True,True
kalshi,GOVPARTYIA-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.525,0.525,0.475,34020.0,0.0,19865.0,True,True
kalshi,GOVPARTYID-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.03,0.03,0.97,628.0,0.0,254.0,True,True
